epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8847,1.30736,1.35072,1.22712,0.87888,0.80384,0.88902,0.65944,1.32477,1.482,1.30173,0.000553444,0.000553444,0.000553444
2,71.731,0.94948,0.76438,1.06123,0.91746,0.8392,0.92357,0.70211,1.26014,1.10643,1.24497,0.00108715,0.00108715,0.00108715
3,105.713,0.88885,0.68405,1.0305,0.91658,0.87851,0.93916,0.7328,1.18706,0.96692,1.22296,0.00159885,0.00159885,0.00159885
4,138.426,0.83179,0.62609,1.0192,0.89832,0.88049,0.93535,0.73755,1.23415,1.06385,1.28059,0.00156798,0.00156798,0.00156798
5,170.969,0.80378,0.57949,1.00462,0.92146,0.90256,0.9539,0.76945,1.12115,0.87159,1.16948,0.00153497,0.00153497,0.00153497
6,203.303,0.7636,0.55039,0.99427,0.92613,0.90278,0.95213,0.7693,1.11959,0.82765,1.18895,0.00150197,0.00150197,0.00150197
7,235.878,0.75082,0.53033,0.98832,0.92934,0.92493,0.9611,0.79639,1.06519,0.81135,1.16697,0.00146896,0.00146896,0.00146896
8,268.469,0.75741,0.52502,0.99,0.9115,0.90091,0.95432,0.78811,1.07756,0.80544,1.16779,0.00143595,0.00143595,0.00143595
9,300.715,0.73331,0.51042,0.9865,0.93007,0.9123,0.96138,0.80045,1.06583,0.79194,1.16396,0.00140295,0.00140295,0.00140295
10,333.027,0.70092,0.48168,0.9701,0.92065,0.93226,0.96455,0.81404,1.02495,0.74804,1.15219,0.00136994,0.00136994,0.00136994
11,365.578,0.6801,0.47199,0.96457,0.92984,0.91816,0.95944,0.80248,1.0801,0.79584,1.18311,0.00133693,0.00133693,0.00133693
12,398.179,0.66887,0.45836,0.96224,0.92811,0.93346,0.96532,0.81554,1.01447,0.73215,1.14191,0.00130393,0.00130393,0.00130393
13,430.602,0.66761,0.45815,0.96291,0.93667,0.92325,0.9658,0.81582,1.0112,0.69837,1.14166,0.00127092,0.00127092,0.00127092
14,463.023,0.67889,0.4561,0.96262,0.93177,0.93053,0.96716,0.81946,0.99786,0.70362,1.12973,0.00123791,0.00123791,0.00123791
15,495.242,0.68012,0.45528,0.96605,0.93174,0.93323,0.96622,0.82347,1.01279,0.77718,1.1553,0.00120491,0.00120491,0.00120491
16,527.44,0.64262,0.42938,0.95489,0.94498,0.9285,0.96803,0.83022,0.96526,0.65461,1.11656,0.0011719,0.0011719,0.0011719
17,559.825,0.63634,0.42371,0.95086,0.94172,0.93236,0.96951,0.83177,0.96365,0.65255,1.11861,0.00113889,0.00113889,0.00113889
18,592.173,0.64192,0.41927,0.95221,0.94364,0.94293,0.97177,0.83298,0.97118,0.65143,1.12182,0.00110589,0.00110589,0.00110589
19,624.346,0.63776,0.42016,0.94893,0.93833,0.93106,0.97075,0.83188,1.00446,0.66718,1.14435,0.00107288,0.00107288,0.00107288
20,656.961,0.62985,0.41293,0.94964,0.93791,0.92951,0.96859,0.83299,0.9594,0.65164,1.12186,0.00103987,0.00103987,0.00103987
21,689.503,0.60557,0.40147,0.93692,0.94841,0.93419,0.96985,0.82623,0.95311,0.6336,1.11532,0.00100687,0.00100687,0.00100687
22,721.946,0.60666,0.40085,0.941,0.9459,0.93743,0.97103,0.83727,0.94285,0.65008,1.1088,0.000973861,0.000973861,0.000973861
23,754.332,0.60883,0.40297,0.93702,0.94164,0.94258,0.97053,0.834,0.95859,0.63982,1.11783,0.000940855,0.000940855,0.000940855
24,786.815,0.61085,0.40176,0.94479,0.94662,0.9394,0.97231,0.84412,0.93016,0.61314,1.10289,0.000907848,0.000907848,0.000907848
25,819.208,0.60248,0.39651,0.93765,0.95185,0.94258,0.97569,0.84672,0.92362,0.60716,1.10202,0.000874842,0.000874842,0.000874842
26,851.589,0.58463,0.38745,0.93167,0.95098,0.9383,0.97319,0.8415,0.95224,0.61204,1.13022,0.000841835,0.000841835,0.000841835
27,883.877,0.5983,0.39088,0.93563,0.94305,0.93871,0.97349,0.84675,0.91896,0.59871,1.09747,0.000808828,0.000808828,0.000808828
28,916.092,0.56959,0.37341,0.9281,0.95254,0.94376,0.9739,0.84775,0.90485,0.58505,1.09209,0.000775822,0.000775822,0.000775822
29,948.418,0.57435,0.37605,0.92622,0.95416,0.93994,0.97434,0.85277,0.9168,0.57898,1.09518,0.000742815,0.000742815,0.000742815
30,980.971,0.57154,0.38054,0.92653,0.95217,0.94253,0.97487,0.8556,0.8995,0.56673,1.08843,0.000709809,0.000709809,0.000709809
31,1013.43,0.56808,0.37762,0.92193,0.94916,0.93572,0.97551,0.8566,0.88419,0.56152,1.08838,0.000676802,0.000676802,0.000676802
32,1045.82,0.56834,0.38257,0.9265,0.95109,0.93604,0.97391,0.85286,0.888,0.56338,1.08334,0.000643795,0.000643795,0.000643795
33,1078.04,0.57081,0.38102,0.92604,0.9518,0.94318,0.97567,0.85376,0.88611,0.61692,1.08768,0.000610789,0.000610789,0.000610789
34,1110.57,0.56848,0.38048,0.92237,0.95267,0.94357,0.97689,0.85875,0.87665,0.54785,1.07726,0.000577782,0.000577782,0.000577782
35,1143.03,0.568,0.3859,0.91989,0.94679,0.9476,0.97492,0.8593,0.86412,0.57553,1.07303,0.000544776,0.000544776,0.000544776
36,1175.62,0.5446,0.36362,0.91383,0.94488,0.94625,0.97621,0.86473,0.85669,0.54235,1.06749,0.000511769,0.000511769,0.000511769
37,1207.67,0.54562,0.36889,0.91281,0.93388,0.93831,0.97382,0.86026,0.86914,0.55513,1.07102,0.000478762,0.000478762,0.000478762
38,1239.99,0.5288,0.36302,0.90736,0.94257,0.94035,0.97535,0.86128,0.86798,0.55161,1.06801,0.000445756,0.000445756,0.000445756
39,1272.28,0.53962,0.36896,0.91243,0.94459,0.93719,0.97619,0.8651,0.84812,0.549,1.05334,0.000412749,0.000412749,0.000412749
40,1304.39,0.53159,0.36058,0.90671,0.94878,0.94199,0.97649,0.86693,0.84411,0.52429,1.05216,0.000379743,0.000379743,0.000379743
41,1336.59,0.54608,0.35417,0.914,0.951,0.94025,0.97601,0.86585,0.85377,0.53825,1.06042,0.000346736,0.000346736,0.000346736
42,1367.15,0.53598,0.34483,0.91057,0.96172,0.94601,0.97826,0.84848,0.86489,0.52595,1.06738,0.000313729,0.000313729,0.000313729
43,1397.5,0.5262,0.34126,0.909,0.95297,0.94446,0.97643,0.86856,0.84001,0.52886,1.0537,0.000280723,0.000280723,0.000280723
44,1427.73,0.5171,0.33521,0.89879,0.95154,0.94003,0.97737,0.87165,0.8511,0.52509,1.06235,0.000247716,0.000247716,0.000247716
45,1458.2,0.5058,0.32887,0.89867,0.95521,0.94141,0.97723,0.87176,0.8429,0.51776,1.05412,0.00021471,0.00021471,0.00021471
46,1488.39,0.50657,0.32455,0.89655,0.95835,0.94282,0.97792,0.8751,0.8265,0.50645,1.04351,0.000181703,0.000181703,0.000181703
47,1518.65,0.49783,0.32064,0.89367,0.95353,0.94533,0.97863,0.87165,0.83181,0.50441,1.05405,0.000148696,0.000148696,0.000148696
48,1548.88,0.49317,0.32185,0.89077,0.95109,0.94801,0.97741,0.87482,0.82523,0.51419,1.04282,0.00011569,0.00011569,0.00011569
49,1579.03,0.47736,0.31302,0.88274,0.95454,0.943,0.97808,0.87702,0.81759,0.49841,1.04034,8.26832e-05,8.26832e-05,8.26832e-05
50,1609.39,0.47487,0.31372,0.88261,0.96015,0.94622,0.97884,0.87875,0.81255,0.49124,1.03828,4.96766e-05,4.96766e-05,4.96766e-05
